rank,id,priority,score,sequence_bucket,owner_suggested,module,legacy_type,status,legacy_path,proposed_replacement,action,dependency,acceptance_criteria,notes
1,MAP-131,P0,1370,S1-Contracts,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ashx,Needs-Manual,Portal/WebSystem/WebSystem-MVC/Content/Admin/Handlers/Handler.ashx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
2,MAP-098,P0,1335,S1-Contracts,SystemParts G2 Team,Portal/WebParts/SystemPartsG2/SystemPartsG2,ashx,Needs-Manual,Portal/WebParts/SystemPartsG2/SystemPartsG2/AppBundle2/Download/Handler.ashx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
3,MAP-102,P0,1335,S1-Contracts,SystemParts G2 Team,Portal/WebParts/SystemPartsG2/SystemPartsG2,asmx,Needs-Manual,Portal/WebParts/SystemPartsG2/SystemPartsG2/AppBundle2/FlashBanner/FlashService.asmx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
4,MAP-103,P0,1335,S1-Contracts,SystemParts G2 Team,Portal/WebParts/SystemPartsG2/SystemPartsG2,ashx,Needs-Manual,Portal/WebParts/SystemPartsG2/SystemPartsG2/AppBundle2/FlashBanner/Handler.ashx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
5,MAP-122,P0,1335,S1-Contracts,SystemParts G2 Team,Portal/WebParts/SystemPartsG2/SystemPartsG2,asmx,Needs-Manual,Portal/WebParts/SystemPartsG2/SystemPartsG2/AppBundle2/Social/WebService.asmx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
6,MAP-017,P0,1330,S1-Contracts,SystemParts Team,Portal/WebParts/SystemParts/SystemParts,ashx,Needs-Manual,Portal/WebParts/SystemParts/SystemParts/AppBundle/Article/EmailPreview.ashx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
7,MAP-004,P0,1325,S1-Contracts,LessonReviewer Team,LessonReviewer/LessonReviewer,ashx,Needs-Manual,LessonReviewer/LessonReviewer/Handlers/AjaxHandler.ashx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
8,MAP-009,P0,1295,S1-Contracts,Integration Team,Portal/WebParts/Integration/IntegrationParts,asmx,Needs-Manual,Portal/WebParts/Integration/IntegrationParts/Apps/Integration/MusicCompetition/ASOP-WS.asmx,,Implement missing API/handler endpoint replacement,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",No deterministic replacement found.
9,MAP-149,P0,1290,S1-Contracts,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,ashx,Mapped-Probable,Portal/WebSystem/WebSystem-MVC/Content/Handlers/AjaxHandler.ashx,Portal/WebSystem/WebSystem-MVC/Api/FrameworkApiController.cs,Implement/confirm API replacement endpoint,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Likely moved into API surface; verify route/contract
10,MAP-150,P0,1255,S1-Contracts,WebSystem CMS Team,Portal/WebSystem/WebSystem-MVC,asmx,Mapped-Direct,Portal/WebSystem/WebSystem-MVC/Content/Parts/Central/AccountService.asmx,Portal/WebSystem/WebSystem-MVC/Api/AccountApiController.cs,Validate and wire endpoint contract parity,API contract matrix + auth policy alignment,"Legacy-equivalent route responds with expected status, auth, payload schema",Direct mapped replacement identified from current API/controller structure.
